16, 200, PA4-G-Unknown-SampleReadingsTest.txt 0
  -48.00,   -59.01,    87.60
   -2.14,   -18.89,    33.94
  -43.30,    -4.28,    79.97
   45.46,   -33.81,    63.98
   35.09,   -68.71,    17.39
    4.96,    -5.05,    12.81
    0.98,   -35.42,   -78.48
   19.47,     3.15,   -43.18
   33.85,    -3.48,  -100.95
   18.30,    -9.69,   -58.77
   37.34,    13.60,   -89.55
  -23.16,    10.54,   -88.05
    0.00,     0.00,     0.00
    0.00,     0.00,     0.00
    0.00,     0.00,     0.00
    0.00,     0.00,     0.00
  -53.64,   -31.22,   179.73
   -7.77,     8.91,   126.06
  -48.93,    23.52,   172.10
   39.83,    -6.02,   156.11
   29.46,   -40.91,   109.51
   -0.67,    22.75,   104.94
   -0.97,   -34.96,   -76.11
   17.97,     3.67,   -41.12
   31.76,    -3.18,   -99.01
   16.61,    -9.22,   -56.65
   35.41,    13.92,   -87.69
  -25.09,    11.03,   -85.59
    0.00,     0.00,     0.00
    0.00,     0.00,     0.00
    0.00,     0.00,     0.00
    0.00,     0.00,     0.00
  -35.04,   -16.61,   175.92
   10.83,    23.51,   122.26
  -30.33,    38.12,   168.29
   58.43,     8.59,   152.31
   48.06,   -26.31,   105.71
   17.93,    37.35,   101.13
   -1.51,   -34.84,   -78.37
   17.17,     3.81,   -43.25
   30.83,    -2.62,  -101.22
   15.88,    -9.02,   -58.85
   34.34,    14.46,   -89.84
  -26.11,    10.95,   -87.54
    0.00,     0.00,     0.00
    0.00,     0.00,     0.00
    0.00,     0.00,     0.00
    0.00,     0.00,     0.00
  -58.77,   -53.36,    79.27
  -12.91,   -13.24,    25.61
  -54.07,     1.37,    71.64
   34.70,   -28.17,    55.66
   24.33,   -63.06,     9.06
   -5.80,     0.60,     4.48
   -2.81,   -34.52,   -78.78
   16.09,     4.04,   -43.68
   29.82,    -2.59,  -101.61
   14.73,    -8.80,   -59.26
   33.45,    14.48,   -90.24
  -27.04,    11.45,   -88.08
    0.00,     0.00,     0.00
    0.00,     0.00,     0.00
    0.00,     0.00,     0.00
    0.00,     0.00,     0.00
  -38.09,   -11.48,   138.98
    7.77,    28.64,    85.31
  -33.39,    43.25,   131.34
   55.38,    13.71,   115.36
   45.00,   -21.18,    68.76
   14.88,    42.48,    64.18
    1.47,   -32.59,   -76.40
   19.58,     6.19,   -41.13
   33.78,    -0.15,   -98.98
   18.52,    -6.65,   -56.73
   37.08,    16.96,   -87.57
  -23.37,    13.03,   -85.79
    0.00,     0.00,     0.00
    0.00,     0.00,     0.00
    0.00,     0.00,     0.00
    0.00,     0.00,     0.00
  -53.02,   -17.63,   139.79
   -7.15,    22.49,    86.13
  -48.31,    37.10,   132.16
   40.45,     7.57,   116.17
   30.08,   -27.33,    69.58
   -0.05,    36.33,    65.00
   -2.69,   -34.19,   -78.01
   16.16,     4.64,   -43.19
   29.66,    -2.20,  -101.15
   14.81,    -8.29,   -58.69
   33.24,    14.95,   -89.88
  -27.21,    11.60,   -87.41
    0.00,     0.00,     0.00
    0.00,     0.00,     0.00
    0.00,     0.00,     0.00
    0.00,     0.00,     0.00
  -84.62,   -55.77,    95.78
  -38.76,   -15.65,    42.12
  -79.92,    -1.04,    88.15
    8.85,   -30.57,    72.16
   -1.52,   -65.47,    25.57
  -31.65,    -1.81,    20.99
    1.13,   -34.31,   -78.29
   19.84,     4.35,   -43.20
   33.63,    -2.25,  -101.12
   18.55,    -8.50,   -58.77
   37.17,    14.85,   -89.76
  -23.30,    11.55,   -87.61
    0.00,     0.00,     0.00
    0.00,     0.00,     0.00
    0.00,     0.00,     0.00
    0.00,     0.00,     0.00
  -62.80,   -72.47,   108.32
  -16.93,   -32.34,    54.66
  -58.09,   -17.73,   100.69
   30.67,   -47.27,    84.70
   20.30,   -82.16,    38.11
   -9.83,   -18.50,    33.53
    0.95,   -35.37,   -75.33
   19.44,     3.01,   -39.83
   33.89,    -3.37,   -97.61
   18.27,    -9.76,   -55.48
   37.39,    13.65,   -86.12
  -23.12,    10.66,   -84.73
    0.00,     0.00,     0.00
    0.00,     0.00,     0.00
    0.00,     0.00,     0.00
    0.00,     0.00,     0.00
  -35.00,   -49.92,   109.46
   10.86,    -9.80,    55.79
  -30.30,     4.81,   101.83
   58.46,   -24.72,    85.84
   48.09,   -59.62,    39.24
   17.96,     4.04,    34.67
   -8.04,   -35.47,   -75.13
   10.98,     3.25,   -40.26
   24.57,    -3.67,   -98.19
    9.58,    -9.67,   -55.77
   28.23,    13.46,   -86.91
  -32.25,    10.48,   -84.58
    0.00,     0.00,     0.00
    0.00,     0.00,     0.00
    0.00,     0.00,     0.00
    0.00,     0.00,     0.00
  -17.89,   -31.60,   101.42
   27.98,     8.52,    47.76
  -13.18,    23.13,    93.79
   75.58,    -6.41,    77.80
   65.21,   -41.30,    31.21
   35.08,    22.36,    26.63
   -3.33,   -34.89,   -75.36
   15.21,     3.72,   -40.12
   28.62,    -2.28,   -98.19
   13.95,    -9.04,   -55.78
   32.06,    14.76,   -86.73
  -28.35,    10.76,   -84.14
    0.00,     0.00,     0.00
    0.00,     0.00,     0.00
    0.00,     0.00,     0.00
    0.00,     0.00,     0.00
  -49.62,   -43.10,    85.27
   -3.76,    -2.97,    31.61
  -44.92,    11.64,    77.64
